

Calculating E_bulk....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 11:42:42     -905.142230        0.0001


The energy of the Fe bulk system is -905.1422300964848 eV.
Potential: MACE(large)    GB: Sigma17(410)










Calculating E_bulk_sub....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:   67 12:00:18    -1468.677104        0.0001
BFGS:   68 12:00:29    -1468.677104        0.0001


The energy of the GB system is -1468.6771044319444 eV.
Potential: MACE(large)    GB: Sigma17(410)









Calculating E_gb_sub of Cr....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 12:00:41    -1469.895811        0.2155
BFGS:    1 12:00:53    -1469.899773        0.1887
BFGS:    2 12:01:04    -1469.915967        0.0905
BFGS:    3 12:01:16    -1469.916842        0.0836
BFGS:    4 12:01:27    -1469.923022        0.0491
BFGS:    5 12:01:39    -1469.923433        0.0469
BFGS:    6 12:01:50    -1469.926020        0.0276
BFGS:    7 12:02:01    -1469.926369        0.0312
BFGS:    8 12:02:13    -1469.927045        0.0318
BFGS:    9 12:02:24    -1469.927714        0.0318
BFGS:   10 12:02:36    -1469.928420        0.0230
BFGS:   11 12:02:48    -1469.928814        0.0183
BFGS:   12 12:03:00    -1469.929124        0.0227
BFGS:   13 12:03:12    -1469.929502        0.0252
BFGS:   14 12:03:24    -1469.929951        0.0228
BFGS:   15 12:03:35    -1469.930297        0.0160
BFGS:   16 12:03:47    -1469.930506        0.0138
BFGS:   17 12:03:59    -1469.930684        0.0158
BFGS:   18 12:04:10    -1469.930911        0.0216
BFGS:   19 12:04:22    -1469.931142        0.0187
BFGS:   20 12:04:34    -1469.931304        0.0120
BFGS:   21 12:04:45    -1469.931414        0.0117
BFGS:   22 12:04:57    -1469.931536        0.0115
BFGS:   23 12:05:08    -1469.931696        0.0148
BFGS:   24 12:05:19    -1469.931846        0.0127
BFGS:   25 12:05:31    -1469.931945        0.0125
BFGS:   26 12:05:42    -1469.932018        0.0104
BFGS:   27 12:05:54    -1469.932104        0.0100
BFGS:   28 12:06:06    -1469.932202        0.0115
BFGS:   29 12:06:18    -1469.932279        0.0097
BFGS:   30 12:06:29    -1469.932325        0.0096
BFGS:   31 12:06:41    -1469.932364        0.0074
BFGS:   32 12:06:53    -1469.932413        0.0071
BFGS:   33 12:07:04    -1469.932463        0.0065
BFGS:   34 12:07:16    -1469.932497        0.0068
BFGS:   35 12:07:28    -1469.932519        0.0057
BFGS:   36 12:07:40    -1469.932541        0.0050
BFGS:   37 12:07:51    -1469.932571        0.0051
BFGS:   38 12:08:03    -1469.932599        0.0045
BFGS:   39 12:08:14    -1469.932616        0.0040
BFGS:   40 12:08:26    -1469.932627        0.0037
BFGS:   41 12:08:37    -1469.932640        0.0037
BFGS:   42 12:08:49    -1469.932654        0.0033
BFGS:   43 12:09:00    -1469.932666        0.0030
BFGS:   44 12:09:12    -1469.932673        0.0027
BFGS:   45 12:09:23    -1469.932678        0.0024
BFGS:   46 12:09:35    -1469.932684        0.0026
BFGS:   47 12:09:47    -1469.932690        0.0017
BFGS:   48 12:09:58    -1469.932694        0.0015
BFGS:   49 12:10:10    -1469.932696        0.0016
BFGS:   50 12:10:22    -1469.932699        0.0021
BFGS:   51 12:10:33    -1469.932701        0.0018
BFGS:   52 12:10:45    -1469.932703        0.0011
BFGS:   53 12:10:57    -1469.932704        0.0010
BFGS:   54 12:11:09    -1469.932705        0.0010
BFGS:   55 12:11:21    -1469.932706        0.0012
BFGS:   56 12:11:33    -1469.932707        0.0009
BFGS:   57 12:11:44    -1469.932708        0.0008
BFGS:   58 12:11:55    -1469.932709        0.0008
BFGS:   59 12:12:07    -1469.932710        0.0008
BFGS:   60 12:12:19    -1469.932710        0.0009
BFGS:   61 12:12:30    -1469.932711        0.0007
BFGS:   62 12:12:43    -1469.932712        0.0006
BFGS:   63 12:12:54    -1469.932712        0.0006
BFGS:   64 12:13:06    -1469.932712        0.0007
BFGS:   65 12:13:18    -1469.932713        0.0007
BFGS:   66 12:13:29    -1469.932713        0.0005
BFGS:   67 12:13:41    -1469.932713        0.0005
BFGS:   68 12:13:53    -1469.932713        0.0004
BFGS:   69 12:14:04    -1469.932713        0.0004
BFGS:   70 12:14:16    -1469.932714        0.0004
BFGS:   71 12:14:28    -1469.932714        0.0004
BFGS:   72 12:14:39    -1469.932714        0.0003
BFGS:   73 12:14:50    -1469.932714        0.0003
BFGS:   74 12:15:01    -1469.932714        0.0003
BFGS:   75 12:15:13    -1469.932714        0.0003
BFGS:   76 12:15:25    -1469.932714        0.0003
BFGS:   77 12:15:36    -1469.932714        0.0003
BFGS:   78 12:15:48    -1469.932714        0.0002
BFGS:   79 12:15:59    -1469.932715        0.0002
BFGS:   80 12:16:11    -1469.932715        0.0002
BFGS:   81 12:16:22    -1469.932715        0.0002
BFGS:   82 12:16:34    -1469.932715        0.0002
BFGS:   83 12:16:46    -1469.932715        0.0001
BFGS:   84 12:16:57    -1469.932715        0.0001
BFGS:   85 12:17:09    -1469.932715        0.0002
BFGS:   86 12:17:20    -1469.932715        0.0002
BFGS:   87 12:17:32    -1469.932715        0.0001
BFGS:   88 12:17:43    -1469.932715        0.0001


The E_gb_sub with site 43  (distance from GB plane: 1.3790170587331012 angstrom) substituded by Cr atom is -1469.93271470698 eV.
Potential: MACE(large)    GB: Sigma17(410)

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 12:17:54    -1469.897850        0.2061
BFGS:    1 12:18:06    -1469.900365        0.1751
BFGS:    2 12:18:17    -1469.907777        0.0733
BFGS:    3 12:18:29    -1469.908293        0.0740
BFGS:    4 12:18:40    -1469.910730        0.0344
BFGS:    5 12:18:51    -1469.911107        0.0266
BFGS:    6 12:19:03    -1469.911430        0.0322
BFGS:    7 12:19:15    -1469.911770        0.0409
BFGS:    8 12:19:26    -1469.912168        0.0296
